City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
312,Yulara,AU,-25.2406,130.9889,43.43,51,0,10.18,clear sky
313,Avera,US,33.194,-82.5271,91.45,40,52,7.11,broken clouds
314,College,US,64.8569,-147.8028,64.29,81,75,5.75,smoke
315,Jardim,BR,-21.4803,-56.1381,88.5,21,3,10.2,clear sky
316,Labytnangi,RU,66.6572,66.4183,67.37,82,99,2.93,overcast clouds
317,Hambantota,LK,6.1241,81.1185,81.34,73,92,16.75,overcast clouds
318,Greensburg,US,40.3015,-79.5389,83.75,73,75,1.99,broken clouds
319,Qaqortoq,GL,60.7167,-46.0333,47.17,85,65,5.3,broken clouds
320,Nouadhibou,MR,20.931,-17.0347,71.87,73,28,29.21,scattered clouds
321,Asosa,ET,10.0667,34.5333,59.61,94,99,3.76,overcast clouds
322,Acapulco,MX,16.8634,-99.8901,85.06,66,93,3.47,overcast clouds
323,Tibu,CO,8.639,-72.7358,93.92,43,73,3.11,broken clouds
324,Vila,PT,42.0304,-8.1588,83.28,25,0,6.29,clear sky
325,Caravelas,BR,-17.7125,-39.2481,77.61,63,65,8.3,broken clouds
326,Ossora,RU,59.2353,163.0719,53.37,97,99,0.69,overcast clouds
327,Berlevag,NO,70.8578,29.0864,57.2,82,87,5.75,overcast clouds
328,Keuruu,FI,62.2667,24.7,59.81,90,100,6.62,overcast clouds
329,Bilibino,RU,68.0546,166.4372,51.24,73,100,3.0,overcast clouds
330,Contai,IN,21.7786,87.7536,84.63,82,78,10.47,broken clouds
331,Rovaniemi,FI,66.5,25.7167,54.81,94,100,5.75,light intensity shower rain
332,Salalah,OM,17.0151,54.0924,78.24,93,100,9.19,overcast clouds
333,Puerto Leguizamo,CO,-0.1934,-74.7819,89.62,50,22,0.87,few clouds
334,Kahului,US,20.8947,-156.47,78.84,73,20,16.11,few clouds
335,Olafsvik,IS,64.8945,-23.7142,48.33,93,100,21.52,overcast clouds
336,La Macarena,CO,2.1837,-73.7849,87.1,60,16,1.43,few clouds
337,Pangnirtung,CA,66.1451,-65.7125,49.91,62,45,4.76,scattered clouds
338,Horki,BY,54.2861,30.9842,63.93,80,95,2.17,overcast clouds
339,Belle Glade,US,26.6845,-80.6676,92.01,59,99,0.25,overcast clouds
340,Beloha,MG,-25.1667,45.05,67.05,64,0,7.36,clear sky
341,Rafaela,AR,-31.2503,-61.4867,64.99,8,0,8.01,clear sky
342,Pilar,BR,-9.5972,-35.9567,78.73,87,24,10.49,few clouds
343,Maniitsoq,GL,65.4167,-52.9,43.27,88,100,3.58,overcast clouds
344,Hammerfest,NO,70.6634,23.6821,57.65,72,75,8.05,broken clouds
345,Ponta Delgada,PT,37.7333,-25.6667,73.51,63,60,7.14,broken clouds
346,Limbang,MY,4.75,115.0,82.51,90,100,2.3,overcast clouds
347,Nanyamba,TZ,-10.6833,39.8333,67.95,81,14,6.69,few clouds
348,Namibe,AO,-15.1961,12.1522,66.15,86,4,6.06,clear sky
