City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
578,Sao Gabriel Da Cachoeira,BR,85.41,few clouds,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
581,Naron,ES,82.04,clear sky,43.5167,-8.1528,Marcial
585,Gazojak,TM,79.12,clear sky,41.1875,61.4036,
590,Yudong,CN,83.52,clear sky,29.385,106.5194,Manyue Condo Hotel
599,Namatanai,PG,77.94,light rain,-3.6667,152.4333,Seagulls Inn Namatani
600,Shetpe,KZ,81.1,clear sky,44.1667,52.1167,Rtsm Shetpe Analog
604,Niksic,ME,78.66,broken clouds,42.7731,18.9445,Hotel Trebjesa
606,Tunyogmatolcs,HU,79.14,overcast clouds,47.9667,22.4667,Szatmár Beregi Élményliget
608,Birao,CF,75.94,moderate rain,10.2849,22.7882,
610,Akdepe,TM,76.55,clear sky,42.0551,59.3788,
611,Shajapur,IN,80.56,light rain,23.4333,76.2667,Gajraj singh chawada
613,Matara,LK,79.41,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
615,Itoman,JP,82.42,few clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
616,Poum,NC,76.26,scattered clouds,-20.2333,164.0167,
618,Hede,CN,80.01,few clouds,33.7681,120.2517,Vienna 3 Best Hotel Sheyang Jiefang Rd
622,Zaria,NG,86.65,few clouds,11.1113,7.7227,A.B.U Hotels
627,Hoi An,VN,80.56,overcast clouds,15.8794,108.335,Belle Maison Hadana Hoi An managed by H&K Hospitality
629,Bagru,IN,86.34,broken clouds,26.8088,75.5423,Nandan Green Housed Limited
630,Kalmunai,LK,83.26,overcast clouds,7.4167,81.8167,VS Villa
631,Tarpa,HU,77.81,overcast clouds,48.1048,22.5374,Bereg Vendégház
632,Fonte Boa,BR,89.02,few clouds,-2.4959,-66.2662,
637,Gat,IL,81.81,clear sky,31.61,34.7642,OlusHome
639,Haapiti,PF,76.73,light rain,-17.5667,-149.8667,Linareva Moorea Beach Resort
